Title;Publication date;Journal;Authors;URL;DOI;Method name;Programming language;Category;Strategy;ST counts;ST pp;ST coordinates;ST coordinates integration;Reference-based / Reference-free;Reference;Reference pp;Image;Image integration;Main output;ST distribution;SC distribution;Batch/platform correction;Downstream analysis;Other;Type;Datasets;Benchmark;Metrics;Code;Tutorials;State;Remarks;Harmonization;;;;
Interpretable and context-free deconvolution of multi-scale whole transcriptomic data with UniCell deconvolve;March-23;Nature Communications;Daniel Charytonowicz, Rachel Brody and Robert Sebra;https://www.nature.com/articles/s41467-023-36961-8;10.1038/s41467-023-36961-8;UniCell Deconvolve;Python;Deep learning;UCDBase is a context-free pre-trained deep learning foundation model. It is trained using 10 million pseudobulk RNA mixtures generated from the world’s largest fully integrated scRNA-seq database. Users have the option to add a contextualized reference profile. UCDBase acts as an universal cell state feature extractor.;Yes;HVGs, normalization;No;-;Both;Gene signature (built-in from scRNA-seq);For training the pre-trained model : scanpy and seurat packages have been used. Cells with <200 counts or genes expressed in <3 cells in a dataset were filtered out. Cells with >20% mitochondrial read fraction were assumed to be dead or damaged cells, and filtered out. Cells whose total counts exceeded two times the standard deviation of log-normal total counts for all cells in the sample were assumed to be damaged outliers, and filtered out. Total counts were normalized to 10,000 reads per cell and subsequently lognormalized. HVGs were also calculated, keeping genes with a log-normed mean between 0.0125 and 4, and a minimum dispersion of 0.25. HVGs were then z-score scaled to +/− 10;No;-;Proportions;-;-;Batch effect;-;-;Real data, Semi-synthetic from SC;"3 simulated datasets from scRNA-seq data : PBMC, Lung, and Retina tissues; Downsampled mouse hippocampal Slide-SeqV2 ST data; Diverse set of publically available solid tumor ST tissues, including Breast Adenocarcinoma (BRCA), Prostate Adenocarcinoma (PRAD), and Colorectal Adenocarcinoma (COAD)";DestVI, Tangram, stereoscope, SPOTlight, Cell2location, CIBERSORTx;Lin’s concordance correlation coefficient;https://github.com/dchary/ucdeconvolve;https://ucdeconvolve.readthedocs.io/en/latest/;Done (Luca);;HARMONISED;;;;
stVAE deconvolves cell-type composition in large-scale cellular resolution spatial transcriptomics;October-23;Bioinformatics (Oxford, England);Chen Li, Ting-Fung Chan, Can Yang and Zhixiang Lin;https://academic.oup.com/bioinformatics/article/39/10/btad642/7325351?;10.1093/bioinformatics/btad642;stVAE;Python;Bayesian;Uses a classical VAE to reconstruct the gene expression vectors from ST data. Each expression vector follows a NB distribution centered around the sum of (proportion of cell type t in spot i x mean gene expression level of gene g for cell type t). Pseudo-ST dataset (created from scRNA-seq data) can be used as a supervised component to guide the training of stVAE (especially for small ST datasets).;Yes;Intersection with sc data;No;-;Reference-based;Gene signature (built-in from scRNA-seq);Gene signature is built from the scRNA-seq dataset using the package scvi-tools. Intersection of genes with ST data.;No;-;Proportions;NB;NB;Platform effect;-;-;Real data;"mouse brain (Stereo-seq) ST dataset with a public mouse brain scRNA-seq dataset; E12.5 mouse embryo generated from Stereo-seq with scRNA-seq (from the mouse organogenesis cell atlas); mouse olfactory bulb (MOB) Stereo-seq and Pixel-seq dataset with public scRNA-seq reference";DestVI, stereoscope, RCTD, SPOTlight;SCC, JSD, Moran's I score;https://github.com/lichen2018/stVAE;On github;Done (Luca);;HARMONISED;;;;
Integrating spatial and single-cell transcriptomics data using deep generative models with SpatialScope;November-23;Nature Communications;Xiaomeng Wan, Jiashun Xiao, Sindy Sing Ting Tam, Mingxuan Cai, Ryohichi Sugimura, Yang Wang, Xiang Wan, Zhixiang Lin, Angela Ruohao Wu and Can Yang;https://www.nature.com/articles/s41467-023-43629-w;10.1038/s41467-023-43629-w;SpatialScope;Python;Bayesian;Quantifies the number of cells within each spot by segmenting the nuclei on the histology image. Next, they use deep generative models to learn distributions from scRNA-seq reference data and then identify the cell type labels for individual cells within the spot. Finally, by conditioning on the inferred cell type labels, SpatialScope performs gene expression decomposition, transforming the spot-level gene expression profile into SC resolution.;Yes;Filtering out spots that have less than 100 total read counts and genes that have zero counts across all spots.;Yes;They assume a prior given by the Potts model for cell types. The prior contains a parameter that controls the spatial smoothness of cell type labels.;Reference-based;Gene signature (built-in from scRNA-seq);Normalization of total counts per cell with median transcript count, log(1 + x) transformation, selection of the top 1000 most highly variable genes and 50 top marker genes for each cell type as training genes;Yes;Segmentation and counting;Cell location, Single-cell gene expression;Poisson;-;Platform effect;Cell-cell interactions, Drop-out correction, Gene imputation, Differentially expressed (DE) genes analysis;-;Real data, Semi-synthetic from ST;"Simulated : MERFISH MOp data from the brain image library (https://doi.org/10.35077/g.8); MERFISH Mouse brain; STARmap PLUS Hippocampus. Real : 10x human heart and mouse brain cortex datasets, with the paired human heart and mouse brain cortex scRNA-seq reference; Mouse cerebellum Slide-seq V2 dataset and the paired scRNA-seq reference.";Tangram, RCTD, SpatialDWLS, Cell2location, CARD, DestVI, STRIDE;PCC, RMSE, COSSIM, MAE;https://github.com/YangLabHKUST/SpatialScope;https://spatialscope-tutorial.readthedocs.io/en/latest/;Done (Luca);;HARMONISED;;;;
Spatial transcriptomics deconvolution at single-cell resolution using Redeconve;December-23;Nature Communications;Zixiang Zhou, Yunshan Zhong, Zemin Zhang and Xianwen Ren;https://www.nature.com/articles/s41467-023-43600-9;10.1038/s41467-023-43600-9;Redeconve;R;Regression;Performs a NNLS regression on ST data and scRNA-seq reference to extract a count matrix. They introduce a regularizing term to solve the collinearity problem of high-resolution deconvolution, with the assumption that similar single cell states have similar abundance in ST spots.;Yes;Highly variable genes, average counts per spot must be bigger than a threshold (default is 0.003).;No;-;Reference-based;scRNA-seq dataset;"Variance must be larger than a threshold (default is 0.025), they add a pseudo-count of 0.5 to the ""zeros"", Normalization.";No;-;Counts;-;-;-;Co-localization network from correlation of abundance of cells or cell types, fidelity vs number of clusters, Significance of Perplexity;-;Real data, Semi-synthetic from SC;"Human lymph node Visium from 10x Genomics with scRNA-seq data; DropViz scRNA-seq and Slide-seq ST data for mouse cerebellum; Human Breast Cancer 10x Visium data with scRNA-seq; Human testis Slide-seq with scRNA-seq data; Mouse Brain 10x Visium and snRNA-seq data; Human Breast Cancer Xenium.";Cell2location, DestVI, CARD, NovoSpaRc, CellTrek, Tangram;COSSIM, Information Entropy, Perplexity;https://github.com/ZxZhou4150/Redeconve;https://zxzhou4150.github.io/Redeconve%20manual.html;Done (Luca);;HARMONISED;;;;
SPACEL: deep learning-based characterization of spatial transcriptome architectures;November-23;Nature Communications;Xu H, Wang S, Fang M, Luo S, Chen C, Wan S, Wang R, Tang M, Xue T, Li B, Lin J and Qu K.;https://www.nature.com/articles/s41467-023-43220-3;10.1038/s41467-023-43220-3;SPACEL-Spoint;Python;Deep learning;Simulates ST data from scRNA-seq reference and then trains a deep learning model to predict cell type proportions with simulated ground truth. The network is composed of three modules : a VAE to extract features from ST data, a MLP (E) to predict cell type proportions and another neural network (R) to recover latent variables from E's outputs. After the training, the values of the module E are used to predict the cell type proportions of the real ST data.;Yes;-;No;-;Reference-based;scRNA-seq dataset;-;No;-;Proportions ;-;-;-;Two other modules : Splane and Scube. Splane employs a graph convolutional network (GCN) approach and an adversarial learning algorithm to identify spatial domains by jointly analyzing multiple ST slices. For ST datasets containing consecutive slices, Scube aligns the Splane predicted coordinate systems for each pair of adjacent slices and then constructs a stacked 3D architecture of the tissue;-;Real data, Semi-synthetic from ST;"12 slices of human Human DLPFC 10X Visium data; six slices of human breast cancer 10X Visium data; four slices of human breast cancer 10X Visium data: Parent_Visium_Human_BreastCancer, V1_Breast_Cancer_Block_A_Section_1, V1_Breast_Cancer_Block_A_Section_2 and Visium_FFPE_Human_Breast_Cancer; one slice of human breast cancer 10X Visium data: Invasive Ductal Carcinoma Stained With Fluorescent CD3 Antibody; Mouse brain STARmap data; 33 slices of Mouse MOp MERFISH data; one slice of mouse E16.5 embryo brain Stereo-seq data; one slice of mouse brain Stereo-seq data; 13 slices of mouse E16.5 whole embryo Stereo-seq data; ten slice of human brain MERFISH data; 75 slice of mouse whole brain ST data; single-nucleus transcriptomics data across multiple human cortical areas; SC transcriptomics data of human breast cancer; SC transcriptomics data of mouse embryo brain; SC transcriptomics data of mouse whole cortex and hippocampus; SC transcriptomics data of mouse whole brain";Cell2location, SpatialDWLS, RCTD, STRIDE, stereoscope, Tangram, DestVI, Seurat, SPOTlight, DSTG;PCC, SSIM, RMSE, JSD, AS;https://github.com/QuKunLab/SPACEL;https://spacel.readthedocs.io/en/latest/;Done (Luca);;HARMONISED;;;;
scResolve: Recovering single cell expression profiles from multi-cellular spatial transcriptomics;December-23;bioRxiv;Hao Chen, Young Je Lee, Jose A. Ovando, Lorena Rosas, Mauricio Rojas, Ana L. Mora, Ziv Bar-Joseph and Jose Lugo-Martinez;https://www.biorxiv.org/content/10.1101/2023.12.18.572269v1;10.1101/2023.12.18.572269;scResolve;Python;Deep learning;First enhances the resolution of gene expression measurements by inferring the expression levels at each pixel in the histology image using the XFuse model. They next perform cell segmentation on the histology image. The gene expression values assigned to pixels are then aggregated based on the segmentation cell boundaries, resulting in the generation of spatially resolved SC expression profiles.;Yes;filtering out the genes with at least 50 counts summed across all the spots, 2,000 variable genes;No;-;Reference-free;-;-;Yes;Pixel-level gene expression inference with Xfuse from the image, cell segmentation.;Cell location, Single-cell gene expression;NB;-;-;Cell type annotation (with scRNA-seq reference), senescent cell identification, Differential gene expression, enrichment analysis;-;Real data, Semi-synthetic from SC;"scRNA-seq data from the Atlas of the Adolescent Mouse Brain; human breast cancer ST; ST dataset of Idiopathic pulmonary fibrosis (IPF).";stereoscope, Cell2location, CARD;MSE, PCC;https://github.com/chenhcs/scResolve;On github;Done (Luca);;HARMONISED;;;;
CellPie: a fast spatial transcriptomics topic discovery method via joint factorization of gene expression and imaging data;October-23;bioRxiv;Sokratia Georgaka, William Geraint Morgans, Qian Zhao, Diego Sanchez Martinez, Amin Ali, Mohamed Ghafoor, Syed-Murtuza Baker, Robert Bristow, Mudassar Iqbal and Magnus Rattray;https://www.biorxiv.org/content/10.1101/2023.09.29.560213v1;10.1101/2023.09.29.560213;CellPie;Python;Matrix factorization;Gene expression counts and paired histology are jointly factorised using joint NMF, resulting to three matrices: a shared spots by topics matrix, containing topic (cell-type associated) proportions and two individual matrices, a gene loading and an image loading matrix.;Yes;Normalization;No;-;Reference-free;-;-;Yes;NMF on the image matrices. It is computed jointly with NMF on ST data (they share the same W matrix).;Proportions ;-;-;-;Annotation of the topics with cell-types using a gene signature and list of markers.;-;Real data;"10x Visium adult mouse brain dataset with immunofluorescence (IF) staining; 10x Genomics Visium dataset of human invasive prostate carcinoma";stDeconvolve, stereoscope, Cell2location, SpaGCN, stLearn;SCC, ARI, Precision;https://github.com/ManchesterBioinference/CellPie;On github;Done (Luca);;HARMONISED;;;;
SpatialcoGCN: deconvolution and spatial information–aware simulation of spatial transcriptomics data via deep graph co-embedding;March-24;Briefings in Bioinformatics;Wang Yin, You Wan and Yuan Zhou;https://academic.oup.com/bib/article/25/3/bbae130/7638268;10.1093/bib/bbae130;SpatialcoGCN;Python;Deep learning;Given scRNA-seq reference (C) and ST data (S), they learn a mapping matrix M, where the difference between MC and S should be optimized as small as possible. To achieve this, they project C and S into a common embedding space via a VAE. Then they establish a distance-based link graph between the co-embedded data utilizing the KNN algorithm. By taking the concatenated expression matrix X=[SC], along with the link graph as input, SpatialcoGCN employs a self-supervised GCN to learn M.;Yes;Excluded spots that expressed less than 5 genes in the dataset and filtered out genes detected in fewer than 1 spot. They screened out the expression profiles of top 200 marker genes for each cell type.;No;-;Reference-based;Gene signature (built-in from scRNA-seq);Cells with high mitochondrial gene content were eliminated, and the expression matrix was normalized. They excluded cells that expressed less than 5 genes in the dataset and filtered out genes detected in fewer than 1 cell. They dropped cell types containing less than 2 cells.;No;-;Proportions;-;-;-;Recover the undetected genes per spot;-;Real data, Semi-synthetic from SC and ST;"Hypothalamic preoptic region MERFISH datasets; Stereo-seq mouse brain dataset; ductal carcinoma in situ (DCIS) scRNA-seq data and ST data were obtained from CellTrek; Several sections of developing human heart profiled by ST technology, with scRNA-seq profiled by 10X Genomics Chromium platform; scRNA-seq downloaded from the mouse brain atlas.";CARD, Cell2location, SpatialDWLS, RCTD, stereoscope, Tangram, DestVI, Seurat, SPOTlight;PCC, SSIM, COSSIM, RMSE, JSD, Average Rank Score;https://github.com/wwYinYin/SpatialcoGCN;On github;Done (Luca);;HARMONISED;;;;
STEM enables mapping of single-cell and spatial transcriptomics data with transfer learning;January-24;Communications Biology;Minsheng Hao , Erpai Luo, Yixin Chen, Yanhong Wu, Chen Li, Sijie Chen, Haoxiang Gao, Haiyang Bian, Jin Gu, Lei Wei and Xuegong Zhang;https://www.nature.com/articles/s42003-023-05640-1;10.1038/s42003-023-05640-1;STEM;Python;Deep learning;Uses deep transfer learning to encode both ST and SC data into an unified spatially aware embedding space, and predict pseudo-spatial adjacency between cells in SC data. By preserving spatial information and eliminating domain gaps between SC and ST data, the optimized embeddings can be used to infer the SC-ST mapping.;Yes;removed cells with “Low quality” annotation, 2000 highly variable genes from the ST data, normalization, log-scaling;Yes;They convert the coordinates into a normalized spatial adjacency matrix. This matrix is used as a ground truth. To predict ST spatial adjacency matrix, they use ST embeddings from the spatial information extracting module.;Reference-based;scRNA-seq dataset;They removed cells with “Low quality” annotation and single cells with “Multiplet” annotation, normalization, log scaling.;No;-;Mapping, Cell location;-;-;Platform effect;Neighborhood enrichment analysis.;-;Real data, Semi-synthetic from ST;"Semi-simulation from seqFISH (three distinct mouse embryo slides E1z2, E2z2, and E3z2); Human middle temporal gyrus (MTG) region : scRNA-seq from SMART-seq protocol, ST data from MERFISH; Human squamous cell carcinoma (hSCC): paired SC and ST data from 10x Visium; Mouse liver: SC and ST data from 10x Visium.";CellTrek, Tangram, Spaotsc, Seurat, Scspace;PCC, MAE, MSE;https://github.com/WhirlFirst/STEM;-;Done (Luca);;HARMONISED;;;;
Robust decomposition of cell type mixtures in spatial transcriptomics;February-21;Nature Biotechnology;Dylan M. Cable, Evan Murray, Luli S. Zou, Aleksandrina Goeva, Evan Z. Macosko, Fei Chen and Rafael A. Irizarry ;https://www.nature.com/articles/s41587-021-00830-w;10.1038/s41587-021-00830-w;RCTD;R;Bayesian;Creates a spatial map of cell types by fitting each ST spot as a linear combination of individual cell types. Each cell type contributes an unobserved proportion of counts to each gene. RCTD estimates the proportion of each cell type for each spot by fitting a statistical model where the observed gene counts are assumed to be Poisson-distributed. Maximum likelihood estimation is used to infer the cell-type proportions.;Yes;filtered to have a minimum of 100 UMIs.;No;-;Reference-based;Gene signature (built-in from scRNA-seq);They select genes with minimum average expression above .0625 counts per 500 and at least 0.5 log-fold-change compared to the average expression across all cell types. This is done before the platform effect normalization.;No;-;Proportions;Poisson;-;Platform effect;-;-;Real data, Semi-synthetic from SC;"Mouse cerebellum (snRNA-seq reference, dataset of doublets simulated from the scRNA-seq cerebellum dataset); Visium Human Hippocampus";-;R², RMSE;https://github.com/dmcable/spacexr;On github;Done (Luca).;;HARMONISED;;;;
SpatialDWLS: accurate deconvolution of spatial transcriptomic data;May-21;Genome Biology;Rui Dong and Guo-Cheng Yuan;https://genomebiology.biomedcentral.com/articles/10.1186/s13059-021-02362-7;10.1186/s13059-021-02362-7;SpatialDWLS;R;Regression;Uses a weighted least squares approach to infer cell-type composition, where the weight is selected to minimize the overall relative error rate. It contains two steps : first it identifies cell types likely to be present at each location, and the cell type composition is inferred by applying DWLS to infer the fraction of each selected cell type.;Yes;They filter out low quality spots and genes by using filterGiotto function from Giotto.;No;-;Reference-based;Gene signature (built-in from scRNA-seq);Gene filtering;No;-;Proportions;-;-;-;-;-;Real data, Semi-synthetic from ST;"Simulation of a ST dataset based on coarse-graining average of seqFISH+ dataset from the mouse somatosensory cortex; 10X Genomics Visium Mouse brain dataset with mouse nervous system atlas scRNA-seq data as a reference; Human heart ST dataset scRNA-seq signature";MuSiC, RCTD, SPOTlight, stereoscope;RMSE;https://giottosuite.readthedocs.io/en/master/;https://giottosuite.readthedocs.io/en/master/;Done (Luca).;;HARMONISED;;;;
Deep learning and alignment of spatially resolved single-cell transcriptomes with Tangram;November-21;Nature Methods;Tommaso Biancalani, Gabriele Scalia, Lorenzo Buffoni, Raghav Avasthi, Ziqing Lu, Aman Sanger, Neriman Tokcan, Charles R. Vanderburg, Åsa Segerstolpe, Meng Zhang, Inbal Avraham-Davidi, Sanja Vickovic, Mor Nitzan, Sai Ma, Ayshwarya Subramanian, Michal Lipinski, Jason Buenrostro, Nik Bear Brown, Duccio Fanelli, Xiaowei Zhuang, Evan Z. Macosko and Aviv Regev ;https://www.nature.com/articles/s41592-021-01264-7;10.1038/s41592-021-01264-7;Tangram;Python;Deep learning;First randomly places the sc/snRNA-seq profiles in space, then computes an objective function that mimics the spatial correlation between each gene in the single-cell and spatial data. Tangram then rearranges the sc/snRNA-seq profiles in space to maximize the total spatial correlation across the genes shared by the datasets. Tangram is technically based on nonconvex optimization.;Yes;-;Yes;Voxelize the spatial volume at the finest possible resolution and index the voxels in an arbitrary one-dimensional fashion. The main output is a matrix denoting the probability of finding each cell from the sc/snRNA-seq data in each voxel. They propose an optional entropy regularizer to minimize the entropy of the spatial distribution of each cell.;Reference-based;scRNA-seq dataset;-;Yes;For segmentation (with ilastik and nucleAIzer). They use it to estimate cell number within each spot.;Mapping;-;-;-;Tangram can expand from a measured subset of genes to genome-wide profiles, correct low-quality spatial measurements, map the location of cells of different types, resolve spatial patterns of chromatin accessibility at SC resolution by aligning multimodal data;-;Real data;"smFISH data, Visium VISp data, MERFISH VISp data and Smart-Seq2 VISp snRNA-seq data : https://github.com/spacetx-spacejam/data ; MERFISH : snRNA-seq profiles from primary motor area (MOp) of healthy adult mouse brain ; also public SHARE-seq and STARmap datasets.";-;-;https://github.com/broadinstitute/Tangram;On github;Done (Luca).;;HARMONISED;;;;
Reference-free cell type deconvolution of multi-cellular pixel-resolution spatially resolved transcriptomics data;April-22;Nature Communications;Miller BF, Huang F, Atta L, Sahoo A and Fan J.;https://www.nature.com/articles/s41467-022-30033-z;10.1038/s41467-022-30033-z;STdeconvolve;R;Topic modeling;Applies LDA to infer the transcriptional profile and proportion for each cell type in the spots. STdeconvolve outputs two matrices: a deconvolved transcriptional profile matrix of cell types over feature selected genes, and the proportions of cell types across the spots.;Yes;They select genes with counts in more than 5% and less than 95% of the spots, and overdispersed across the spots. They also select for significantly overdispersed genes, or genes with higher-than-expected expression variance across spots. When there are too many genes in the preprocessed ST data, they suggest to keep only the top 1000 most overdispersed genes.;No;-;Reference-free;-;-;No;-;Proportions;-;-;-;-;-;Real data, Semi-synthetic from SC and ST;"Simulation of ST data from single-cell MERFISH data of the mouse medial preoptic area; 10X Visium data of the mouse coronal section of the cortex; DBiT-seq dataset of E11 mouse embryo lower body; Slide-seq of the mouse cerebellum";SPOTlight, RCTD, spatialDWLS, DSTG;RMSE;https://github.com/JEFworks-Lab/STdeconvolve;On github;Done (Luca).;;HARMONISED;;;;
DestVI identifies continuums of cell types in spatial transcriptomics data;April-22;Nature Biotechnology;Romain Lopez, Baoguo Li, Hadas Keren-Shaul, Pierre Boyeau, Merav Kedmi, David Pilzer, Adam Jelinski, Ido Yofe, Eyal David, Allon Wagner, Can Ergen, Yoseph Addadi, Ofra Golani, Franca Ronchese, Michael I. Jordan, Ido Amit and Nir Yosef;http://www.nature.com/articles/s41587-022-01272-8;10.1038/s41587-022-01272-8;DestVI;Python/R;Bayesian;First, RNA counts and cell type information from the scRNA-seq data are jointly transformed by a VAE (scLVM model) into the parameters of the approximate posterior of a low-dimensional representation of cell-type-specific cell state. Then, RNA counts from the ST data are transformed by an encoder neural network into the parameters of cell-type-specific embeddings. The frozen decoder from the scLVM model maps cell-type-specific embeddings to estimates of cell-type-specific gene expression. These values are summed across all cell types, weighted by the estimated proportions.;Yes;-;No;-;Reference-based;scRNA-seq dataset;Normalization with scanpy with a target count of 10,000 UMIs. They can also select the top 4,000 highly variable genes.;No;-;Proportions;NB;NB;Platform effect;Analysis of subcell-types, Highlight cell types that tend to occur at specific niches using Geary’s C autocorrelation, select informative thresholds for cell type proportions, Finding main axes of variation in the combined data;-;Real data, Semi-synthetic from SC;"Murine Lymph Node (ST from 10x Visium and scRNA-seq from 10x Chromium); Mouse Tumor (ST from 10x Visium and scRNA-seq from single-cell MARS sequencing protocol)";RCTD, SPOTLight, Stereoscope, Seurat;Cell-type Prop. Correlation, Gene imputation correlation;https://github.com/romain-lopez/DestVI-reproducibility;https://docs.scvi-tools.org/en/stable/tutorials/index.html;Done (Luca).;;HARMONISED;;;;
Cell type identification in spatial transcriptomics data can be improved by leveraging cell-type-informative paired tissue images using a Bayesian probabilistic model;August-22;Nucleic Acids Research;Zubair A, Chapple RH, Natarajan S, Wright WC, Pan M, Lee HM, Tillman H, Easton J and Geeleher P.;https://academic.oup.com/nar/article/50/14/e80/6583238;10.1093/nar/gkac320;GIST;R;Bayesian;ST data (Y) is supposed to be the matrix product of cell type specific gene expression signatures (W) and cell type proportions (H). W is approximated with a gene signature and image data is used to generate a prior estimate of the abundance of some cell type. Each parameter follows a statistical distribution and the Hamiltonian Monte Carlo (HMC) algorithm is used to optimize the model.;Yes;knnSmooth algorithm for imputation, normalization with Seurat sctranform function, gene filtering by computing 2000 most highly variable genes;No;-;Reference-based;Gene signature (built-in from scRNA-seq);normalization with Seurat sctranform function, gene filtering by computing 2000 most highly variable genes;Yes;Uses the image data to generate a prior estimate of the abundance of some cell type at each spot;Proportions;t-distribution;NB;-;-;-;Real data, Semi-synthetic from SC;"10X Genomics V1 Visium Adult Mouse Brain Coronal with scRNA-seq data obtained from a github repository; Breast cancer ST slides and scRNA-seq data from a github repository.";CIBERSORT, spatialDWLS, stereoscope, cell2location, SPOTlight, RCTD;MAE, SCC;https://github.com/asifzubair/GIST;-;Done (Luca).;;HARMONISED;;;;
SpaDecon: cell-type deconvolution in spatial transcriptomics with semi-supervised learning;April-23;Communications Biology;Coleman K, Hu J, Schroeder A, Lee EB and Li M.;https://www.nature.com/articles/s42003-023-04761-x;10.1038/s42003-023-04761-x;SpaDecon;Python;Deep learning;Builds an adjacency matrix that represents the similarity of spots with respect to spatial locations and histological features. Then, SpaDecon locally smooths the ST gene expression data by performing matrix multiplication between the adjacency matrix and the ST gene expression matrix. SpaDecon constructs a stacked autoencoder to map spots from the smoothed ST data and cells from an annotated scRNA-seq dataset to a lower dimensional space. A clustering layer is added and an iterative cell-type clustering algorithm is used to optimize the network parameters and identify features that are relevant for cell-type classification. The ST data are then used as input for the network and the distance between a given spot and centroid is used to estimate the proportion of cell-types.;Yes;They find the top h highly variable genes in smoothed ST data, intersects genes with scRNA-seq data, logarithmization and Z-score normalization.;Optional;They combine it with histology image to smooth GE data.;Reference-based;Gene signature (built-in from scRNA-seq);Gene intersection with ST data, logarithmization and Z-score normalization.;Optional;They combine it with spatial location to smooth GE data.;Proportions;-;-;-;-;-;Real data, Semi-synthetic from SC;"Mouse Brain (SRT: V1_Mouse_ Brain_Sagittal_Anterior; scRNA-seq: Smart-seq, public atlas); Breast Cancer (SRT: V1_Breast_ Cancer_Block_A_Section_1; scRNA-seq: GSE75688); Melanoma (SRT: https://www. spatialresearch.org/resources-published-datasets/doi-10-1158-0008-5472-can-18-0747/; scRNA-seq: GSE72056); Pancreatic Ductal Adenocarcinoma (SRT: GSM3405534; scRNA-seq: GSE111672).";RCTD, SPOTlight, stereoscope, cell2location, MuSiC;MSE, JSD;https://github.com/kpcoleman/SpaDecon;On github;Done (Luca).;;HARMONISED;;;;
STIE: Single-cell level deconvolution, convolution, and clustering in spatial transcriptomics by aligning spot level transcriptome to nuclear morphology;December-23;bioRxiv;Shijia Zhu, Naoto Kubota, Shidan Wang, Tao Wang, Guanghua Xiao and Yujin Hoshida;https://www.biorxiv.org/content/10.1101/2023.12.17.572084v1;10.1101/2023.12.17.572084;STIE;R;Bayesian;Extracts SC histological features and nuclear locations from the H&E image by performing nucleus segmentation. Given the cell type transcriptomic signature, the cell type proportion is estimated from the gene expression of each spot, while a similar proportion is also calculated from the histology image by clustering single cells into groups, locating every single cell and calculating the cell cluster proportion covered by each spot. An EM algorithm is used to model their joint likelihood as main loss function along with their difference in cell-type proportion estimation.;Yes;-;No;-;Both;Gene signature (built-in from scRNA-seq);buildSignatureMatrixMAST() R function developed by DWLS to select the marker genes;Yes;Extract information from nuclear morphology-based cell typing to refine gene expression-based cell type proportion estimation;Proportions;NB;-;-;Filling up missing cells outside the spots, Resolving cell-cell interactions;-;Real data, Semi-synthetic from SC;"Hippocampal region of mouse brain (10X Visium FFPE ST and scRNA-seq-derived mouse brain hippocampus cell-type transcriptomic signatures); 10X Visium V2 Chemistry CytAssist mouse brain hippocampus FFPE ST datasets; Human breast cancer (10X Visium FFPE ST dataset and human breast cancer scRNA-seq-derived cell type transcriptomic signature)";SPOTlight, DWLS, stereoscope, RCTD, Tangram, BayesPrim;RMSE, PCC;https://github.com/zhushijia/STIE;On github;Done (Luca).;;HARMONISED;;;;
SpatialDDLS: An R package to deconvolute spatial transcriptomics data using neural networks;February-24;Bioinformatics (Oxford, England);Diego Mañanes, Inés Rivero-García, Daniel Jimenez-Carretero, Miguel Torres, David Sancho, Carlos Torroja and Fátima Sánchez-Cabo;https://academic.oup.com/bioinformatics/article/40/2/btae072/7609037;10.1093/bioinformatics/btae072;SpatialDDLS;R;Deep learning;Simulates mixed transcriptional profiles with known cell composition from scRNA-seq data and trains a fully connected neural network able to make accurate predictions of cell type proportions. These predictions are adapted based on the spatial context of every spot. The frozen model is then applied to the associated ST dataset.;Yes;Filtering genes at the spot level by setting a minimum count cutoff for N spots. ;Yes;The transcriptional profile of the surroundings of each spot are used to spatially regularize the original predicted proportions in the spot.;Reference-based;scRNA-seq dataset;Filtering genes at the cell level by setting a minimum count cutoff for N cells. Filtering genes at the cluster level : cutoff of non-zero average counts per cluster and the disposal of genes with a log fold-change (logFC) less than 0.5. Then, the top 300 genes with the highest logFC per cluster are kept. LogFCs are calculated per cluster with respect to the average across all cell types. ;No;-;Proportions;-;-;-;Spatial regularization, Model interpretation using gradient-based gene scores, Clustering of spots based on cell type composition;-;Real data, Semi-synthetic from ST;"Mouse draining Lymph Node and Mouse Hippocampus (ST and scRNA-seq from 10x); seqFISH of mouse brain cortex with Smart-seq data set from the mouse primary visual cortex; STAR-map of mouse visual cortex with Smart-seq data; MERFISH of mouse medical pre-optical area.";RCTD, cell2location;PCC, Concordance correlation coefficient, RMSE, JSD;https://github.com/diegommcc/SpatialDDLS;-;Done (Luca).;;HARMONISED;;;;
CellsFromSpace: A fast, accurate and reference-free tool to deconvolve and annotate spatially distributed Omics data;February-24;Bioinformatics Advances;Corentin Thuilliez, Gael Moquin-Beaudry, Pierre Khneisser, Maria Eugenia Marques Da Costa, Slim Karkar, Hanane Boudhouche, Damien Drubay, Baptiste Audinot, Birgit Geoerger, Jean-Yves Scoazec, Nathalie Gaspar and Antonin Marchais;https://academic.oup.com/bioinformaticsadvances/article/4/1/vbae081/7685431;10.1093/bioadv/vbae081;CellsFromSpace;R;Dimensionality reduction;Uses Independant component analysis (ICA) to decompose the signal from ST data. The ICs need to be annotated based on marker genes and spatial distributions.;Yes;Normalization with Seurat's sctranform function;No;-;Reference-free;-;-;No;-;Proportions;-;-;-;Query EnrichR databases to run and curate functional enrichment analyzes for individual ICs, analyses on multiple datsets simultaneously, differential gene expression analysis;-;Real data;"Visium reference sample datasets of Mouse Brain Coronal Section, Human Breast Cancer and Human Prostate Cancer; Slide-seqV2 mouse hippocampus sample dataset; MERSCOPE sample dataset MERFISH Mouse Brain Receptor Map; CosMX sample datasets (FFPE) human nonsmall cell lung cancer.";STdeconvolve;RMSE;https://github.com/gustaveroussy/CFS;https://codimd.univ-rouen.fr/s/w0oZMV6fz;Done (Luca).;;HARMONISED;;;;
